Event,Species,Gear,PCG,Duration,Day,Month,Year,Date,Latitude,Longitude,StationDepth,StationType,Abundance,Temp
2000-10,A244,324,P05001029324,136,17,5,2000,17-May-00,32.41103,-78.98675,51,,0,21.57
2000-10,A244,324,P05001030324,120,17,5,2000,17-May-00,32.41467,-78.98145,46,,0,21.57
2000-16,A244,324,P05001072324,94,23,5,2000,23-May-00,31.10832,-79.92429,47,,0,21.34
2000-19,A244,324,P05001090324,102,20,6,2000,20-Jun-00,33.1988,-77.32652,100,,0,18.47
2000-20,A244,324,P05001096324,89,20,6,2000,20-Jun-00,33.73148,-77.28992,28,,0,23.10
2000-20,A244,324,P05001098324,81,20,6,2000,20-Jun-00,33.73523,-77.29107,28,,0,23.10
2000-20,A244,324,P05001101324,93,20,6,2000,20-Jun-00,33.74423,-77.29153,32,,0,23.10
2000-24,A244,324,P05001117324,97,22,6,2000,22-Jun-00,34.27383,-76.81522,26,,0,25.49
2000-26,A244,324,P05001132324,102,26,6,2000,26-Jun-00,33.8525,-76.50571,73,,0,18.00
2000-26,A244,324,P05001133324,105,26,6,2000,26-Jun-00,33.85077,-76.50861,73,,0,18.00
2000-26,A244,324,P05001134324,112,26,6,2000,26-Jun-00,33.84862,-76.51045,75,,0,18.00
2000-26,A244,324,P05001135324,117,26,6,2000,26-Jun-00,33.84553,-76.5152,72,,0,18.00
2000-27,A244,324,P05001139324,99,26,6,2000,26-Jun-00,33.83963,-76.51985,85,,0,18.85
2000-27,A244,324,P05001142324,117,26,6,2000,26-Jun-00,33.8441,-76.51172,101,,0,18.85
2000-29,A244,324,P05001155324,103,26,6,2000,26-Jun-00,33.95873,-76.49392,40,,0,22.49
2000-31,A244,324,P05001170324,148,27,6,2000,27-Jun-00,33.96665,-76.77168,34,,0,23.58
2000-32,A244,324,P05001172324,91,27,6,2000,27-Jun-00,33.86238,-76.73409,39,,0,23.06
2000-32,A244,324,P05001173324,101,27,6,2000,27-Jun-00,33.8638,-76.73448,39,,0,23.06
2000-32,A244,324,P05001174324,103,27,6,2000,27-Jun-00,33.87568,-76.73427,39,,0,23.06
2000-32,A244,324,P05001175324,91,27,6,2000,27-Jun-00,33.86853,-76.72587,39,,0,23.06
2000-32,A244,324,P05001177324,105,27,6,2000,27-Jun-00,33.85762,-76.72385,39,,0,23.06
2000-33,A244,324,P05001179324,91,28,6,2000,28-Jun-00,33.8184,-77.27068,28,,0,22.61
2000-34,A244,324,P05001190324,125,28,6,2000,28-Jun-00,33.84682,-77.27151,30,,0,22.56
2000-45,A244,324,P05001264324,92,13,7,2000,13-Jul-00,32.36627,-79.03273,57,,0,25.28
2000-69,A244,324,P05001368324,87,11,8,2000,11-Aug-00,32.28442,-79.71413,24,,0,25.42
2000-77,A244,324,P05001420324,84,17,8,2000,17-Aug-00,32.71398,-78.52948,43,,0,23.05
2000-87,A244,324,P05001467324,92,21,9,2000,21-Sep-00,33.28772,-78.45905,23,,0,26.08
2000-88,A244,324,P05001469324,99,21,9,2000,21-Sep-00,33.48685,-78.25117,24,,0,26.28
2001-25,A244,324,P05011050324,91,18,6,2001,18-Jun-01,33.72883,-77.2904,28,,0,23.16
2001-25,A244,324,P05011051324,96,18,6,2001,18-Jun-01,33.73443,-77.29148,28,,0,23.16
2001-25,A244,324,P05011053324,92,18,6,2001,18-Jun-01,33.73807,-77.28825,30,,0,23.16
2001-26,A244,324,P05011058324,99,18,6,2001,18-Jun-01,33.82873,-77.26915,31,,0,23.60
2001-26,A244,324,P05011062324,103,18,6,2001,18-Jun-01,33.84443,-77.26822,30,,0,23.60
2001-28,A244,324,P05011071324,89,19,6,2001,19-Jun-01,34.23072,-76.40252,29,,0,24.71
2001-42,A244,324,P05011139324,111,10,7,2001,10-Jul-01,31.53822,-79.73825,57,,0,20.74
2001-57,A244,324,P05011216324,83,19,7,2001,19-Jul-01,31.49378,-79.78394,53,,0,20.79
2001-66,A244,324,P05011265324,102,8,8,2001,08-Aug-01,32.74412,-78.47992,47,,0,25.80
2001-67,A244,324,P05011270324,101,8,8,2001,08-Aug-01,32.70667,-78.53667,50,,0,25.61
2001-82,A244,324,P05011349324,99,28,8,2001,28-Aug-01,32.1408,-79.29272,46,,0,23.64
2001-83,A244,324,P05011355324,99,28,8,2001,28-Aug-01,32.15345,-79.2721,51,,0,22.47
2001-83,A244,324,P05011356324,101,28,8,2001,28-Aug-01,32.15505,-79.27007,52,,0,22.47
2001-83,A244,324,P05011357324,101,28,8,2001,28-Aug-01,32.15631,-79.26775,51,,0,22.47
